id,left,top,right,bottom,row_index,col_index
3180,205189.761599999997998,563363.541699999943376,205689.761599999997998,562863.541699999943376,7,52
3181,205189.761599999997998,562863.541699999943376,205689.761599999997998,562363.541699999943376,8,52
3178,205189.761599999997998,564363.541699999943376,205689.761599999997998,563863.541699999943376,5,52
3179,205189.761599999997998,563863.541699999943376,205689.761599999997998,563363.541699999943376,6,52
3176,205189.761599999997998,565363.541699999943376,205689.761599999997998,564863.541699999943376,3,52
3177,205189.761599999997998,564863.541699999943376,205689.761599999997998,564363.541699999943376,4,52
3174,205189.761599999997998,566363.541699999943376,205689.761599999997998,565863.541699999943376,1,52
3175,205189.761599999997998,565863.541699999943376,205689.761599999997998,565363.541699999943376,2,52
3172,204689.761599999997998,536863.541699999943376,205189.761599999997998,536363.541699999943376,60,51
3170,204689.761599999997998,537863.541699999943376,205189.761599999997998,537363.541699999943376,58,51
3171,204689.761599999997998,537363.541699999943376,205189.761599999997998,536863.541699999943376,59,51
3168,204689.761599999997998,538863.541699999943376,205189.761599999997998,538363.541699999943376,56,51
3169,204689.761599999997998,538363.541699999943376,205189.761599999997998,537863.541699999943376,57,51
3166,204689.761599999997998,539863.541699999943376,205189.761599999997998,539363.541699999943376,54,51
3167,204689.761599999997998,539363.541699999943376,205189.761599999997998,538863.541699999943376,55,51
3164,204689.761599999997998,540863.541699999943376,205189.761599999997998,540363.541699999943376,52,51
3165,204689.761599999997998,540363.541699999943376,205189.761599999997998,539863.541699999943376,53,51
3162,204689.761599999997998,541863.541699999943376,205189.761599999997998,541363.541699999943376,50,51
3163,204689.761599999997998,541363.541699999943376,205189.761599999997998,540863.541699999943376,51,51
3160,204689.761599999997998,542863.541699999943376,205189.761599999997998,542363.541699999943376,48,51
3161,204689.761599999997998,542363.541699999943376,205189.761599999997998,541863.541699999943376,49,51
3158,204689.761599999997998,543863.541699999943376,205189.761599999997998,543363.541699999943376,46,51
3159,204689.761599999997998,543363.541699999943376,205189.761599999997998,542863.541699999943376,47,51
3156,204689.761599999997998,544863.541699999943376,205189.761599999997998,544363.541699999943376,44,51
3157,204689.761599999997998,544363.541699999943376,205189.761599999997998,543863.541699999943376,45,51
3154,204689.761599999997998,545863.541699999943376,205189.761599999997998,545363.541699999943376,42,51
3155,204689.761599999997998,545363.541699999943376,205189.761599999997998,544863.541699999943376,43,51
3152,204689.761599999997998,546863.541699999943376,205189.761599999997998,546363.541699999943376,40,51
3153,204689.761599999997998,546363.541699999943376,205189.761599999997998,545863.541699999943376,41,51
3150,204689.761599999997998,547863.541699999943376,205189.761599999997998,547363.541699999943376,38,51
3151,204689.761599999997998,547363.541699999943376,205189.761599999997998,546863.541699999943376,39,51
3148,204689.761599999997998,548863.541699999943376,205189.761599999997998,548363.541699999943376,36,51
3149,204689.761599999997998,548363.541699999943376,205189.761599999997998,547863.541699999943376,37,51
3146,204689.761599999997998,549863.541699999943376,205189.761599999997998,549363.541699999943376,34,51
3147,204689.761599999997998,549363.541699999943376,205189.761599999997998,548863.541699999943376,35,51
3144,204689.761599999997998,550863.541699999943376,205189.761599999997998,550363.541699999943376,32,51
3145,204689.761599999997998,550363.541699999943376,205189.761599999997998,549863.541699999943376,33,51
