fid,BASE_DATE,ADM_CD,SIGNGU_CD,SIGNGU_NM,NUMPOINTS
208,20230701,11200700,11590,동작구,1
209,20230701,11200700,11620,관악구,0
210,20230701,11200710,11590,동작구,0
211,20230701,11200720,11170,용산구,0
212,20230701,11200720,11560,영등포구,0
213,20230701,11200720,11590,동작구,1
214,20230701,11200730,11170,용산구,0
215,20230701,11200730,11590,동작구,1
216,20230701,11200730,11650,서초구,0
217,20230701,11210520,11590,동작구,0
218,20230701,11210520,11620,관악구,0
219,20230701,11160540,11500,강서구,0
220,20230701,11210820,11545,금천구,0
221,20230701,11210820,11620,관악구,0
222,20230701,11210830,11545,금천구,0
223,20230701,11210830,11620,관악구,0
224,20230701,11220660,11650,서초구,0
225,20230701,11220660,11680,강남구,0
226,20230701,11220670,11650,서초구,0
227,20230701,11220670,11680,강남구,0
228,20230701,11220680,11650,서초구,0
229,20230701,11220680,11680,강남구,0
230,20230701,11230760,11650,서초구,0
231,20230701,11230760,11680,강남구,0
232,20230701,11230760,11710,송파구,0
233,20230701,11180510,11530,구로구,0
234,20230701,11180510,11545,금천구,0
235,20230701,11240810,11710,송파구,0
236,20230701,11240820,11710,송파구,0
237,20230701,11220520,11650,서초구,0
238,20230701,11220520,11680,강남구,0
239,20230701,11210660,11620,관악구,0
240,20230701,11210680,11590,동작구,0
241,20230701,11210680,11620,관악구,0
242,20230701,11220560,11170,용산구,0
243,20230701,11220560,11590,동작구,0
244,20230701,11220560,11650,서초구,0
245,20230701,11240590,11710,송파구,0
246,20230701,11240590,11740,강동구,0
247,20230701,11230520,11650,서초구,0
248,20230701,11230520,11680,강남구,0
249,20230701,23070640,11500,강서구,0
250,20230701,31021640,11650,서초구,0
251,20230701,31021640,11680,강남구,0
252,20230701,31021650,11650,서초구,0
253,20230701,31021670,11680,강남구,0
254,20230701,31021670,11710,송파구,0
255,20230701,31021680,11710,송파구,0
256,20230701,31041600,11545,금천구,0
257,20230701,31041600,11620,관악구,0
258,20230701,31041610,11545,금천구,0
259,20230701,31042530,11620,관악구,0
260,20230701,31050880,11530,구로구,0
261,20230701,31060560,11530,구로구,0
262,20230701,31060580,11530,구로구,0
263,20230701,31060580,11545,금천구,0
264,20230701,31120540,11215,광진구,0
265,20230701,31120540,11260,중랑구,0
266,20230701,31120540,11740,강동구,0
267,20230701,31101560,11110,종로구,0
268,20230701,31101560,11290,성북구,0
269,20230701,31101560,11305,강북구,0
270,20230701,31101560,11380,은평구,0
271,20230701,31101580,11380,은평구,0
272,20230701,31101640,11500,강서구,0
273,20230701,31101670,11380,은평구,0
274,20230701,31130310,11350,노원구,0
275,20230701,31120510,11260,중랑구,0
276,20230701,31120510,11350,노원구,0
277,20230701,31120520,11260,중랑구,0
278,20230701,11150600,11470,양천구,0
279,20230701,11080630,11290,성북구,0
280,20230701,11080640,11110,종로구,0
281,20230701,11080640,11290,성북구,0
282,20230701,11080780,11290,성북구,0
283,20230701,11080780,11305,강북구,0
284,20230701,11080780,11350,노원구,0
285,20230701,11010690,11110,종로구,0
286,20230701,11010700,11110,종로구,0
287,20230701,11010700,11290,성북구,0
288,20230701,11010710,11110,종로구,0
