시,구,행정동,주택수
서울시,강동구,암사2동,5214
서울시,강동구,암사3동,5583
서울시,강동구,천호1동,8035
서울시,강동구,천호3동,7964
서울시,강동구,성내1동,6767
서울시,강동구,성내2동,6199
서울시,강동구,성내3동,6685
서울시,강동구,둔촌1동,5
서울시,강동구,둔촌2동,7962
서울시,강동구,암사1동,10089
서울시,강동구,천호2동,9362
서울시,강동구,길동,14776
