기준_년분기_코드,행정동_코드,행정동_코드_명,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수
20233,11680545,압구정동,44490,25047,19443
20233,11710570,오금동,27438,19217,8221
20233,11710566,오륜동,25084,14536,10548
20233,11710680,잠실3동,21831,14806,7025
20233,11740515,강일동,1357,886,471
20233,11740550,고덕1동,2188,1136,1052
20233,11740685,길동,9468,4805,4663
20233,11740530,명일1동,4220,2357,1863
20233,11740570,암사1동,3940,2413,1527
20233,11110600,가회동,11728,8729,2999
20233,11110690,창신3동,300,142,158
20233,11140550,명동,72930,42220,30710
20233,11140570,필동,17346,8148,9198
20233,11170570,원효로2동,4609,3303,1306
20233,11170510,후암동,2324,1371,953
20233,11200540,마장동,7683,5451,2232
20233,11200550,사근동,2650,1837,813
20233,11200535,왕십리도선동,5949,2726,3223
20233,11215850,구의1동,3628,2155,1473
20233,11230740,이문1동,4076,1851,2225
20233,11230705,청량리동,4909,2614,2295
20233,11260575,면목3?8동,3459,2159,1300
20233,11260690,신내2동,3776,2095,1681
20233,11260600,중화1동,1955,1034,921
20233,11290580,돈암1동,2329,1067,1262
20233,11290590,돈암2동,11726,7090,4636
20233,11305545,송중동,2249,1126,1123
20233,11320513,창3동,775,403,372
20233,11350665,상계3?4동,2343,1623,720
20233,11380631,신사1동,2475,1318,1157
20233,11380632,신사2동,1918,1332,586
20233,11380625,역촌동,4694,2257,2437
20233,11410520,천연동,1823,985,838
20233,11410685,홍은2동,5835,3769,2066
20233,11410640,홍제3동,1201,596,605
20233,11440555,아현동,11780,6477,5303
20233,11440680,합정동,5738,3211,2527
20233,11470520,목2동,5530,3082,2448
20233,11500603,가양1동,5337,3304,2033
20233,11500605,가양3동,3216,2060,1156
20233,11530720,고척1동,7767,5490,2277
20233,11545640,독산4동,1765,991,774
20233,11560710,대림2동,4606,2336,2270
20233,11560720,대림3동,6057,3897,2160
20233,11560515,영등포본동,5708,3229,2479
20233,11590520,노량진2동,4687,2431,2256
20233,11590620,사당1동,3916,2054,1862
20233,11590550,상도3동,1371,776,595
20233,11590680,신대방2동,22031,14020,8011
20233,11620775,난곡동,1481,807,674
20233,11620765,미성동,3689,2177,1512
20233,11650620,방배3동,17809,11648,6161
20233,11680670,개포2동,9490,6220,3270
20233,11680630,대치4동,33305,20468,12837
20233,11680655,도곡1동,40888,28978,11910
20233,11710532,거여2동,2952,1523,1429
20233,11710641,문정1동,34975,27013,7962
20233,11740540,명일2동,2874,1969,905
20233,11740660,성내3동,4641,2789,1852
20233,11740610,천호2동,3817,1970,1847
20233,11740620,천호3동,2763,1566,1197
