field_1,EMD_CD,EMD_ENG_NM,EMD_KOR_NM,SIG_CD,SIG_ENG_NM,SIG_KOR_NM,CTPRVN_CD,CTP_ENG_NM,CTP_KOR_NM,SeoulRoadLength,SeoulRoadCount
114,11140128,Namsan-dong 1(il)-ga,남산동1가,11140,Jung-gu,중구,11,Seoul,서울특별시,626.543546459763,15
115,11140129,Namsan-dong 2(i)-ga,남산동2가,11140,Jung-gu,중구,11,Seoul,서울특별시,2249.43524766675,42
116,11140130,Namsan-dong 3(sam)-ga,남산동3가,11140,Jung-gu,중구,11,Seoul,서울특별시,849.490609263855,15
117,11140131,Jeo-dong 1(il)-ga,저동1가,11140,Jung-gu,중구,11,Seoul,서울특별시,809.06723046777,9
118,11140132,Chungmuro 4(sa)-ga,충무로4가,11140,Jung-gu,중구,11,Seoul,서울특별시,2215.62437372364,41
119,11140133,Chungmuro 5(o)-ga,충무로5가,11140,Jung-gu,중구,11,Seoul,서울특별시,1999.80816553546,30
120,11140134,Inhyeon-dong 2(i)-ga,인현동2가,11140,Jung-gu,중구,11,Seoul,서울특별시,2562.04425856383,46
121,11140135,Yegwan-dong,예관동,11140,Jung-gu,중구,11,Seoul,서울특별시,1566.01335571301,29
122,11140136,Mukjeong-dong,묵정동,11140,Jung-gu,중구,11,Seoul,서울특별시,2048.04024701336,30
123,11140137,Pil-dong 1(il)-ga,필동1가,11140,Jung-gu,중구,11,Seoul,서울특별시,973.015625985432,17
124,11140138,Pildong 2(i)-ga,필동2가,11140,Jung-gu,중구,11,Seoul,서울특별시,3935.76722567791,50
125,11140139,Pil-dong 3(sam)-ga,필동3가,11140,Jung-gu,중구,11,Seoul,서울특별시,3251.07974539365,42
126,11140140,Namhak-dong,남학동,11140,Jung-gu,중구,11,Seoul,서울특별시,419.451393078179,10
127,11140141,Juja-dong,주자동,11140,Jung-gu,중구,11,Seoul,서울특별시,744.905486295171,8
128,11140142,Yejang-dong,예장동,11140,Jung-gu,중구,11,Seoul,서울특별시,7050.56131785739,40
129,11140143,Jangchung-dong 1(il)-ga,장충동1가,11140,Jung-gu,중구,11,Seoul,서울특별시,4325.45687158535,44
130,11140144,Jangchung-dong 2(i)-ga,장충동2가,11140,Jung-gu,중구,11,Seoul,서울특별시,12530.7825180319,110
131,11140145,Gwanghui-dong 1(il)-ga,광희동1가,11140,Jung-gu,중구,11,Seoul,서울특별시,2407.35555820145,44
132,11140146,Gwanghui-dong 2(i)-ga,광희동2가,11140,Jung-gu,중구,11,Seoul,서울특별시,2736.77983201041,45
133,11140147,Ssangnim-dong,쌍림동,11140,Jung-gu,중구,11,Seoul,서울특별시,2843.97442271418,46
134,11140148,Euljiro 6(yuk)-ga,을지로6가,11140,Jung-gu,중구,11,Seoul,서울특별시,3049.14181409413,32
135,11140149,Euljiro 7(chil)-ga,을지로7가,11140,Jung-gu,중구,11,Seoul,서울특별시,1333.75571190736,21
136,11140150,Euljiro 4(sa)-ga,을지로4가,11140,Jung-gu,중구,11,Seoul,서울특별시,2297.43765928336,35
137,11140151,Euljiro 5(o)-ga,을지로5가,11140,Jung-gu,중구,11,Seoul,서울특별시,1882.72743778666,21
138,11140152,Jugyo-dong,주교동,11140,Jung-gu,중구,11,Seoul,서울특별시,2721.90728747666,48
139,11140153,Bangsan-dong,방산동,11140,Jung-gu,중구,11,Seoul,서울특별시,908.576852643772,10
140,11140154,Ojang-dong,오장동,11140,Jung-gu,중구,11,Seoul,서울특별시,2242.8420778545,27
141,11140155,Euljiro 3(sam)-ga,을지로3가,11140,Jung-gu,중구,11,Seoul,서울특별시,2708.37933929608,37
142,11140156,Ipjeong-dong,입정동,11140,Jung-gu,중구,11,Seoul,서울특별시,1499.70471431614,32
143,11140157,Sallim-dong,산림동,11140,Jung-gu,중구,11,Seoul,서울특별시,1817.5933548305,36
144,11140158,Chungmuro 3(sam)-ga,충무로3가,11140,Jung-gu,중구,11,Seoul,서울특별시,1451.85467671313,21
145,11140159,Cho-dong,초동,11140,Jung-gu,중구,11,Seoul,서울특별시,1613.2169475031,26
146,11140160,Inhyeon-dong 1(il)-ga,인현동1가,11140,Jung-gu,중구,11,Seoul,서울특별시,1989.011622938,46
